date,time_of_day,weight
2022-12-08,morning,93.6
2022-12-08,evening,94.3
2022-12-09,morning,92.4
2022-12-10,evening,94.4
2022-12-11,morning,93.6
2022-12-11,evening,95.6
2022-12-12,morning,93.9
2022-12-12,evening,94.8
2022-12-13,morning,93.5
2022-12-13,evening,94.6
2022-12-14,morning,93.5
2022-12-14,evening,94.9
2022-12-15,morning,92.2
2022-12-15,evening,93.7
2022-12-16,morning,92.8
2022-12-16,evening,94.2
2022-12-17,morning,92.7
2022-12-17,evening,94.3
2022-12-18,morning,92.2
2022-12-18,evening,93.9
2022-12-19,morning,93.1
2022-12-19,evening,93.1
2022-12-20,morning,92.7
2022-12-20,evening,92.7
2022-12-21,morning,92.0
2022-12-21,evening,92.8
2022-12-22,morning,92.0
2022-12-22,evening,93.1
2022-12-23,morning,92.0
2022-12-23,evening,92.0
2022-12-24,morning,91.5
2022-12-24,evening,93.5
2022-12-25,morning,92.1
2022-12-25,evening,93.7
2022-12-26,morning,92.4
2022-12-26,evening,94.5
2022-12-27,morning,92.8
2022-12-27,evening,92.6
2022-12-28,morning,92.6
2022-12-28,evening,
2022-12-29,morning,92.6
2022-12-29,evening,93.2
2022-12-30,morning,93.2
2022-12-30,evening,92.4
2022-12-31,morning,
2022-12-31,evening,
2023-01-01,morning,
2023-01-01,evening,93.0
2023-01-02,morning,92.6
2023-01-02,evening,92.6
2023-01-03,morning,91.5
2023-01-03,evening,93.3
2023-01-04,morning,91.7
2023-01-04,evening,92.9
2023-01-05,morning,92.1
2023-01-05,evening,91.7
2023-01-06,morning,91.7
2023-01-06,evening,93.5
2023-01-07,morning,91.4
2023-01-07,evening,91.7
2023-01-08,morning,91.1
2023-01-08,evening,93.4
2023-01-09,morning,91.4
2023-01-09,evening,92.0
2023-01-10,morning,91.1
2023-01-10,evening,
2023-01-11,morning,
2023-01-11,evening,
2023-01-12,morning,
2023-01-12,evening,
2023-01-13,morning,
2023-01-13,evening,
2023-01-14,morning,
2023-01-14,evening,
2023-01-15,morning,
2023-01-15,evening,
2023-01-16,morning,
2023-01-16,evening,
2023-01-17,morning,
2023-01-17,evening,
2023-01-18,morning,
2023-01-18,evening,
2023-01-19,morning,
2023-01-19,evening,
2023-01-20,morning,
2023-01-20,evening,
2023-01-21,morning,
2023-01-21,evening,
2023-01-22,morning,
2023-01-22,evening,
2023-01-23,morning,
2023-01-23,evening,
2023-01-24,morning,
2023-01-24,evening,
2023-01-25,morning,
2023-01-25,evening,
2023-01-26,morning,
2023-01-26,evening,
2023-01-27,morning,
2023-01-27,evening,
2023-01-28,morning,
2023-01-28,evening,
2023-01-29,morning,
2023-01-29,evening,
2023-01-30,morning,
2023-01-30,evening,
2023-01-31,morning,
2023-01-31,evening,
2023-02-01,morning,
2023-02-01,evening,
2023-02-02,morning,
2023-02-02,evening,
2023-02-03,morning,
2023-02-03,evening,
2023-02-04,morning,
2023-02-04,evening,
2023-02-05,morning,
2023-02-05,evening,
2023-02-06,morning,
2023-02-06,evening,
2023-02-07,morning,
2023-02-07,evening,
2023-02-08,morning,
2023-02-08,evening,
2023-02-09,morning,
2023-02-09,evening,
2023-02-10,morning,
2023-02-10,evening,
2023-02-11,morning,
2023-02-11,evening,
2023-02-12,morning,
2023-02-12,evening,
2023-02-13,morning,
2023-02-13,evening,
2023-02-14,morning,
2023-02-14,evening,
2023-02-15,morning,
2023-02-15,evening,
2023-02-16,morning,
2023-02-16,evening,
2023-02-17,morning,
2023-02-17,evening,
2023-02-18,morning,
2023-02-18,evening,
2023-02-19,morning,
2023-02-19,evening,
2023-02-20,morning,
2023-02-20,evening,
2023-02-21,morning,
2023-02-21,evening,
2023-02-22,morning,
2023-02-22,evening,
2023-02-23,morning,
2023-02-23,evening,
2023-02-24,morning,
2023-02-24,evening,
2023-02-25,morning,
2023-02-25,evening,
2023-02-26,morning,
2023-02-26,evening,
2023-02-27,morning,
2023-02-27,evening,
2023-02-28,morning,
2023-02-28,evening,
