date,time_of_day,weight
2023-06-07,evening,88.0
2023-06-08,morning,86.8
2023-06-08,evening,
2023-06-09,morning,
2023-06-09,evening,
2023-06-10,morning,
2023-06-10,evening,
2023-06-11,morning,
2023-06-11,evening,88.5
2023-06-12,morning,87.3
2023-06-12,evening,88.8
2023-06-13,morning,88.3
2023-06-13,evening,88.9
2023-06-14,morning,87.9
2023-06-14,evening,87.9
2023-06-15,morning,87.3
2023-06-15,evening,89.0
2023-06-16,morning,88.4
2023-06-16,evening,88.8
2023-06-17,morning,88.2
2023-06-17,evening,88.2
2023-06-18,morning,87.0
2023-06-18,evening,87.8
2023-06-19,morning,87.8
2023-06-19,evening,88.9
2023-06-20,morning,87.7
2023-06-20,evening,88.5
2023-06-21,morning,87.8
2023-06-21,evening,89.9
2023-06-22,morning,
2023-06-22,evening,
2023-06-23,morning,
2023-06-23,evening,87.3
2023-06-24,morning,87.3
2023-06-24,evening,
2023-06-25,morning,
2023-06-25,evening,
2023-06-26,morning,
2023-06-26,evening,
2023-06-27,morning,
2023-06-27,evening,90.5
2023-06-28,morning,88.5
2023-06-28,evening,89.8
2023-06-29,morning,86.8
2023-06-29,evening,
2023-06-30,morning,88.4
2023-06-30,evening,89.6
2023-07-01,morning,88.0
2023-07-01,evening,88.6
2023-07-02,morning,88.0
2023-07-02,evening,88.7
2023-07-03,morning,87.5
2023-07-03,evening,
2023-07-04,morning,
2023-07-04,evening,
2023-07-05,morning,
2023-07-05,evening,
2023-07-06,morning,
2023-07-06,evening,
